Frame,Progress,VisibleTiles,RenderableTiles,MissingCount
1022,0.18325,24,24,0
1023,0.18342,27,24,4
1024,0.18359,27,24,0
1025,0.18376,28,1,1
1026,0.18393,27,1,0
1027,0.18410,27,1,0
1028,0.18427,27,1,0
1029,0.18444,27,1,0
1030,0.18461,27,1,0
1031,0.18478,27,27,0
1032,0.18495,27,27,0
1033,0.18512,27,27,0
1034,0.18529,27,27,0
1035,0.18546,27,27,0
1036,0.18563,27,27,0
1037,0.18580,27,27,0
1038,0.18597,29,27,3
1039,0.18614,29,27,0
1040,0.18631,29,27,0
1041,0.18648,29,27,0
1042,0.18665,29,27,0
1043,0.18682,29,29,0
1044,0.18699,29,29,0
1045,0.18716,29,29,0
1046,0.18733,31,28,4
1047,0.18750,31,28,0
1048,0.18767,31,28,0
1049,0.18784,31,28,0
1050,0.18801,33,28,3
1051,0.18818,34,1,1
1052,0.18835,34,1,0
1053,0.18852,34,1,0
1054,0.18869,34,1,0
1055,0.18886,34,1,0
1056,0.18903,34,1,0
1057,0.18920,34,34,0
1058,0.18937,34,34,0
